,0
0,74
1,74
2,72
3,72
4,73
5,69
6,69
7,71
8,76
9,71
10,73
11,73
12,74
13,74
14,69
15,70
16,73
17,75
18,78
19,79
20,76
21,74
22,76
23,72
24,71
25,75
26,77
27,74
28,73
29,74
30,78
31,73
32,75
33,73
34,75
35,75
36,74
37,69
38,71
39,74
40,73
41,73
42,76
43,74
44,74
45,70
46,72
47,77
48,74
49,70
50,73
51,75
52,76
53,76
54,78
55,74
56,74
57,76
58,77
59,81
60,78
61,75
62,77
63,75
64,76
65,74
66,72
67,72
68,75
69,73
70,73
71,73
72,70
73,70
74,70
75,76
76,68
77,71
78,72
79,75
80,75
81,75
82,75
83,68
84,74
85,78
86,71
87,73
88,76
89,74
90,74
91,79
92,75
93,73
94,76
95,74
96,74
97,73
98,72
99,74
100,73
101,74
102,72
103,73
104,69
105,72
106,73
107,75
108,75
109,73
110,72
111,72
112,76
113,74
114,72
115,77
116,74
117,77
118,75
119,76
120,80
121,74
122,74
123,75
124,78
125,73
126,73
127,74
128,75
129,76
130,71
131,73
132,74
133,76
134,76
135,74
136,73
137,74
138,70
139,72
140,73
141,73
142,73
143,73
144,71
145,74
146,74
147,72
148,74
149,71
150,74
151,73
152,75
153,75
154,79
155,73
156,75
157,76
158,74
159,76
160,78
161,74
162,76
163,72
164,74
165,76
166,74
167,75
168,78
169,75
170,72
171,74
172,72
173,74
174,70
175,71
176,70
177,75
178,71
179,71
180,73
181,72
182,71
183,73
184,72
185,75
186,74
187,74
188,75
189,73
190,77
191,73
192,76
193,75
194,74
195,76
196,75
197,73
198,71
199,76
200,75
201,72
202,71
203,77
204,73
205,74
206,71
207,72
208,74
209,75
210,73
211,72
212,75
213,75
214,74
215,72
216,74
217,71
218,70
219,74
220,77
221,77
222,75
223,75
224,78
225,75
226,76
227,73
228,75
229,75
230,79
231,77
232,76
233,71
234,75
235,74
236,69
237,71
238,76
239,72
240,72
241,70
242,72
243,73
244,71
245,72
246,71
247,73
248,72
249,73
250,74
251,74
252,72
253,75
254,74
255,74
256,77
257,75
258,73
259,72
260,71
261,74
262,77
263,75
264,75
265,75
266,78
267,78
268,74
269,76
270,78
271,76
272,70
273,72
274,80
275,74
276,74
277,71
278,70
279,72
280,71
281,74
282,71
283,72
284,71
